County,Value,Rank, FIPS 
"Grayson County, Virginia","43,022","2,746",51077
"Scott County, Mississippi","43,022","2,746",28123
"Lauderdale County, Tennessee","43,025","2,745",47097
"Levy County, Florida","43,029","2,744",12075
"Le Flore County, Oklahoma","43,049","2,743",40079
"Cameron County, Texas","43,057","2,742",48061
"Clare County, Michigan","43,069","2,741",26035
"McDonald County, Missouri","43,086","2,740",29119
"St. Mary Parish, Louisiana","43,097","2,739",22101
"Crenshaw County, Alabama","43,103","2,738",01041
"San Augustine County, Texas","43,130","2,737",48405
"Raleigh County, West Virginia","43,150","2,736",54081
"Caddo Parish, Louisiana","43,153","2,734",22017
"Marion County, Texas","43,153","2,734",48315
"Screven County, Georgia","43,167","2,733",13251
"Shoshone County, Idaho","43,188","2,732",16079
"Metcalfe County, Kentucky","43,196","2,731",21169
"Howell County, Missouri","43,200","2,730",29091
"Upson County, Georgia","43,257","2,729",13293
"Scioto County, Ohio","43,266","2,728",39145
"Mercer County, West Virginia","43,293","2,727",54055
"Lauderdale County, Mississippi","43,301","2,726",28075
"Menifee County, Kentucky","43,313","2,725",21165
"Cherokee County, North Carolina","43,319","2,724",37039
"Lamar County, Alabama","43,324","2,723",01075
"Ouachita County, Arkansas","43,338","2,722",05103
"Pickens County, Alabama","43,389","2,721",01107
"Yukon-Koyukuk Census Area, Alaska","43,405","2,720",02290
"Jackson County, Florida","43,416","2,718",12063
"Neshoba County, Mississippi","43,416","2,718",28099
"Mitchell County, Georgia","43,427","2,717",13205
"McCurtain County, Oklahoma","43,435","2,716",40089
"Jefferson County, Oklahoma","43,438","2,715",40067
"Henry County, Tennessee","43,444","2,713",47079
"Polk County, Arkansas","43,444","2,713",05113
"Fentress County, Tennessee","43,464","2,712",47049
"Cherokee County, Alabama","43,475","2,711",01019
"Garden County, Nebraska","43,478","2,710",31069
"Sequoyah County, Oklahoma","43,496","2,709",40135
"Hertford County, North Carolina","43,523","2,708",37091
"Baxter County, Arkansas","43,530","2,707",05005
"Calhoun County, Georgia","43,549","2,706",13037
"Taylor County, Florida","43,563","2,705",12123
"Scott County, Arkansas","43,577","2,704",05127
"Geneva County, Alabama","43,581","2,703",01061
"Hempstead County, Arkansas","43,592","2,702",05057
"Macon County, Tennessee","43,605","2,701",47111
"Whitman County, Washington","43,613","2,700",53075
"Cameron County, Pennsylvania","43,615","2,699",42023
"Haskell County, Oklahoma","43,622","2,698",40061
"Franklin County, Alabama","43,633","2,697",01059
"Houston County, Texas","43,644","2,696",48225
"Cottle County, Texas","43,654","2,695",48101
"Jones County, Mississippi","43,659","2,694",28067
"Dade County, Missouri","43,661","2,693",29057
"Payne County, Oklahoma","43,686","2,692",40119
"Coal County, Oklahoma","43,697","2,691",40029
"Baylor County, Texas","43,705","2,690",48023
"Winn Parish, Louisiana","43,710","2,689",22127
"Woodruff County, Arkansas","43,717","2,688",05147
"Jefferson County, Arkansas","43,720","2,687",05069
"Bronx County, New York","43,726","2,686",36005
"Weakley County, Tennessee","43,773","2,685",47183
"Cabell County, West Virginia","43,779","2,684",54011
"Jackson County, Alabama","43,785","2,683",01071
"Decatur County, Tennessee","43,817","2,682",47039
"Duval County, Texas","43,836","2,681",48131
"Simpson County, Mississippi","43,842","2,680",28127
"Wilkes County, Georgia","43,859","2,679",13317
"Bibb County, Georgia","43,862","2,678",13021
"Bristol City, Virginia","43,879","2,677",51520
"Montmorency County, Michigan","43,913","2,676",26119
"Lincoln County, Mississippi","43,926","2,675",28085
"Ashe County, North Carolina","43,938","2,674",37009
"Brown County, Nebraska","43,942","2,673",31017
"Eastland County, Texas","43,953","2,672",48133
"Forest County, Pennsylvania","43,958","2,671",42053
"Fayette County, Alabama","43,960","2,670",01057
"Lewis County, Idaho","44,028","2,669",16061
"Hamilton County, Texas","44,030","2,668",48193
"DeKalb County, Alabama","44,037","2,667",01049
"Russell County, Alabama","44,065","2,666",01113
"Alcorn County, Mississippi","44,068","2,665",28003
"Clarke County, Georgia","44,070","2,664",13059
"Real County, Texas","44,083","2,663",48385
"Lincoln County, Georgia","44,087","2,662",13181
"Graham County, Kansas","44,091","2,661",20065
"Walker County, Texas","44,104","2,660",48471
"Clarke County, Alabama","44,108","2,659",01025
"Meigs County, Ohio","44,113","2,658",39105
"Ogemaw County, Michigan","44,165","2,657",26129
"Muskogee County, Oklahoma","44,166","2,656",40101
"Union Parish, Louisiana","44,192","2,655",22111
"Hopewell City, Virginia","44,209","2,654",51670
"Lane County, Kansas","44,219","2,653",20101
"Barren County, Kentucky","44,254","2,652",21009
"Carter County, Tennessee","44,280","2,651",47019
"Dixie County, Florida","44,287","2,650",12029
"Crosby County, Texas","44,304","2,649",48107
"Nicholas County, Kentucky","44,306","2,648",21181
"Iosco County, Michigan","44,334","2,647",26069
"Yalobusha County, Mississippi","44,348","2,646",28161
"Jasper County, Texas","44,356","2,645",48241
"Radford City, Virginia","44,360","2,644",51750
"Sedgwick County, Colorado","44,405","2,643",08115
"Bamberg County, South Carolina","44,408","2,642",45009
"Van Buren County, Tennessee","44,444","2,641",47175
"Coffee County, Georgia","44,450","2,640",13069
"Adams County, Ohio","44,467","2,639",39001
"Upshur County, West Virginia","44,470","2,638",54097
"Prairie County, Montana","44,500","2,637",30079
"Maverick County, Texas","44,502","2,636",48323
"Shelby County, Texas","44,504","2,635",48419
"Washington County, Alabama","44,512","2,634",01129
"Greenwood County, South Carolina","44,513","2,633",45047
"Newton County, Mississippi","44,530","2,632",28101
"Calloway County, Kentucky","44,534","2,631",21035
"Marion County, Alabama","44,551","2,630",01093
"Zavala County, Texas","44,573","2,629",48507
"Ontonagon County, Michigan","44,605","2,628",26131
"Wyoming County, West Virginia","44,630","2,627",54109
"Gregory County, South Dakota","44,654","2,626",46053
"Hidalgo County, Texas","44,666","2,625",48215
"Jackson County, Colorado","44,667","2,624",08057
"Nolan County, Texas","44,700","2,623",48353
"Iron County, Missouri","44,717","2,622",29093
"White County, Tennessee","44,777","2,621",47185
"Carroll County, Tennessee","44,794","2,620",47017
"Deer Lodge County, Montana","44,809","2,619",30023
"Torrance County, New Mexico","44,819","2,618",35057
"Butler County, Missouri","44,842","2,617",29023
"Morgan County, Ohio","44,848","2,616",39115
"Alpena County, Michigan","44,864","2,615",26007
"Wise County, Virginia","44,884","2,614",51195
"Petersburg City, Virginia","44,890","2,613",51730
"Berrien County, Georgia","44,907","2,612",13019
"Grainger County, Tennessee","44,917","2,611",47057
"Pulaski County, Georgia","44,946","2,610",13235
"Dallas County, Missouri","44,948","2,609",29059
"Washington County, Missouri","44,955","2,608",29221
"Eddy County, North Dakota","44,958","2,607",38027
"Pike County, Ohio","44,961","2,606",39131
"Prowers County, Colorado","44,984","2,605",08099
"Crittenden County, Kentucky","45,000","2,604",21055
"Cheyenne County, Kansas","45,039","2,603",20023
"Chesterfield County, South Carolina","45,046","2,602",45025
"Washington County, Idaho","45,065","2,601",16087
"Blackford County, Indiana","45,080","2,600",18009
"Santa Cruz County, Arizona","45,089","2,599",04023
"Hardin County, Tennessee","45,092","2,598",47071
"Craig County, Oklahoma","45,094","2,597",40035
"Potter County, Texas","45,096","2,596",48375
"Barton County, Missouri","45,113","2,595",29011
"Wayne County, Georgia","45,115","2,594",13305
"Las Animas County, Colorado","45,118","2,593",08071
"Douglas County, Missouri","45,125","2,592",29067
"Sampson County, North Carolina","45,127","2,591",37163
"Morgan County, Tennessee","45,133","2,590",47129
"Decatur County, Georgia","45,134","2,589",13087
"Atoka County, Oklahoma","45,148","2,588",40005
"Grundy County, Tennessee","45,150","2,587",47061
"Echols County, Georgia","45,151","2,586",13101
"Clay County, Alabama","45,163","2,585",01027
"Ritchie County, West Virginia","45,184","2,584",54085
"Crawford County, Kansas","45,191","2,583",20037
"Carroll County, Virginia","45,220","2,582",51035
"Woodson County, Kansas","45,234","2,581",20207
"Butler County, Alabama","45,236","2,580",01013
"Vance County, North Carolina","45,243","2,579",37181
"Cross County, Arkansas","45,247","2,578",05037
"Wilbarger County, Texas","45,262","2,577",48487
"Hamblen County, Tennessee","45,275","2,576",47063
"Harrison County, Missouri","45,313","2,575",29081
"Izard County, Arkansas","45,318","2,574",05065
"Yancey County, North Carolina","45,324","2,573",37199
"Hart County, Kentucky","45,342","2,572",21099
"Lewis County, West Virginia","45,345","2,571",54041
"Clark County, Arkansas","45,351","2,570",05019
"De Soto Parish, Louisiana","45,364","2,569",22031
"Trinity County, Texas","45,392","2,568",48455
"Talladega County, Alabama","45,400","2,567",01121
